Time,Lat,Lon,Alt,Gimbal,Rangefinder,Compass
3.10.2020-12.27.20,-19.3111102,-45.3531298,666.86,-10.01,22.50014989,167
3.10.2020-12.27.32,-19.3111672,-45.3526437,677.09,-8.83,39.33904462,214
3.10.2020-12.27.40,-19.3114568,-45.3526305,687.76,-31.65,20.95457841,239
3.10.2020-12.27.48,-19.3116898,-45.3526271,696.86,-50.25,14.05422818,273
3.10.2020-12.27.55,-19.3118733,-45.3526256,704.28,-38.86,10.7660223,300
3.10.2020-12.28.7,-19.3118748,-45.3528423,688.6,-47.16,16.91606693,323
3.10.2020-12.28.25,-19.3118768,-45.3531563,667.38,-36.95,15.7956447,31
3.10.2020-12.28.35,-19.3118782,-45.3533835,657.65,-18.5,33.28009488,57
3.10.2020-12.28.49,-19.3118221,-45.3536677,651.05,-8.98,8.1182384,69
3.10.2020-12.29.14,-19.3114292,-45.3541989,648.28,1.03,5.67511633,69
